view_position,cart_rate,purchase_rate,n
1,0.04342321747999774,0.008856860222549116,195103
2,0.0358938611912682,0.006832288586028918,195103
3,0.03281287575819654,0.0057716458988358735,112273
4,0.03238570987567704,0.005233912384587321,71266
5,0.03427044852127815,0.005426502201907624,47913
6,0.03627812228513226,0.006021389413139211,33381
7,0.038153517598258656,0.005626514435911126,24349
8,0.039798819155915155,0.007106931992127706,18292
9,0.043487559706280744,0.005560704355885079,14027
10,0.040825816051334514,0.00511485166930159,10753
11,0.042725988700564974,0.006355932203389831,8496
12,0.04437564499484004,0.0056022408963585435,6783
13,0.04650741947158885,0.0066956207021353605,5526
14,0.04683998207082026,0.005154639175257732,4462
15,0.04440743824590619,0.006938662225922842,3603
