specification,outcome,N,y_mean,R2,coef_early_exposure,se_early_exposure,pval_early_exposure,coef_top3,se_top3,pval_top3,coef_norm_position,se_norm_position,pval_norm_position,coef_top5,se_top5,pval_top5,coef_norm_rank,se_norm_rank,pval_norm_rank
C-A1a: Cart ~ EarlyExposure,was_carted,770854,0.038056493188074525,0.0005405136321151582,0.00934251471593897,0.00047371027577767854,1.3959396859098268e-86,,,,,,,,,,,,
C-A1b: Cart ~ Top3,was_carted,770854,0.038056493188074525,2.6855637647038577e-07,,,,0.0002081368845272648,0.0004570871875772438,0.64885394528245,,,,,,,,,
C-A1c: Cart ~ NormPosition,was_carted,770854,0.038056493188074525,0.00038445384932117577,,,,,,,-0.009643215520663297,0.000570891149114706,5.195305533840462e-64,,,,,,
C-A2a: Purchase ~ EarlyExposure,was_purchased,770854,0.006791169274596746,0.00023240803644009045,0.0026295984341020294,0.00020764319991169167,9.357713768260893e-37,,,,,,,,,,,,
C-A2c: Purchase ~ NormPosition,was_purchased,770854,0.006791169274596746,0.00011627948799497467,,,,,,,-0.0022764321929509643,0.00025486676046154825,4.189355673557391e-19,,,,,,
C-A3a: Purchase|Cart ~ EarlyExposure,was_purchased,29336,0.1730297245704936,0.0007723324294059974,0.021432075066730883,0.004543313064677987,2.3901987500507944e-06,,,,,,,,,,,,
C-A3b: Purchase|Cart ~ NormPosition,was_purchased,29336,0.1730297245704936,0.00018143622925137493,,,,,,,-0.012898229009566272,0.005740759260830523,0.02465402464615538,,,,,,
C-B1a: Click ~ EarlyExposure (Search),was_clicked,1771329,0.020532041196186592,0.0034041518589831288,0.01840551382475351,0.00027819763351405983,0.0,,,,,,,,,,,,
C-B1b: Click ~ Top5 (Search),was_clicked,1771329,0.020532041196186592,0.00936220384473374,,,,,,,,,,0.03173269007453054,0.00032483346059821794,0.0,,,
C-B1c: Click ~ NormRank (Search),was_clicked,1771329,0.020532041196186592,0.0032679088128698686,,,,,,,,,,,,,-0.026561653789552116,0.00039562001692160627,0.0
