rank_position,click_rate,purchase_rate,n,click_delta,purchase_delta,click_pct_change
1,0.031251477099056235,0.000401770943295152,126938,,,
2,0.026634708181055896,0.0004429889094562311,126414,-0.004616768918000339,4.1217966161079115e-05,-0.14772962261485434
3,0.025525155859111304,0.00042886073938768214,125915,-0.0011095523219445923,-1.412817006854895e-05,-0.04165813698434917
4,0.02448368418118245,0.0004300972497670307,125553,-0.001041471677928854,1.2365103793485384e-06,-0.040801775459368916
5,0.023917558715449753,0.0004473558076370027,125180,-0.0005661254657326961,1.7258557869972036e-05,-0.023122560377077828
6,0.022065186039803866,0.0005207832580200622,124812,-0.001852372675645888,7.342745038305945e-05,-0.07744823364641018
7,0.021690020821776845,0.0003939255078825298,124389,-0.00037516521802702027,-0.00012685775013753235,-0.01700258576339453
8,0.02110411848604743,0.00041902029831022004,124099,-0.0005859023357294157,2.5094790427690234e-05,-0.02701252988845304
9,0.020553091446714657,0.00036355704209990546,123777,-0.0005510270393327722,-5.546325621031458e-05,-0.026109929192118297
10,0.020585996339547465,0.0003320321990249591,123482,3.290489283280795e-05,-3.152484307494634e-05,0.0016009704874868635
11,0.01878911011783828,0.0004713531084924827,123050,-0.0017968862217091867,0.0001393209094675236,-0.08728682314283787
12,0.01802706099332452,0.00035907228778011717,122538,-0.0007620491245137577,-0.00011228082071236556,-0.04055802109490392
13,0.018170354235928006,0.00035210690948395866,122122,0.0001432932426034851,-6.965378296158503e-06,0.007948785587209573
14,0.01811379707284986,0.0004028942608123664,121620,-5.6557163078146955e-05,5.078735132840772e-05,-0.0031126065206982245
15,0.017504206948889694,0.00023096974296367176,121228,-0.0006095901239601652,-0.00017192451784869462,-0.033653359453488574
16,0.01774114804425357,0.0003392663571895506,120849,0.00023694109536387745,0.00010829661422587881,0.013536237091787084
17,0.017238369918462677,0.00034077780455977325,120313,-0.0005027781257908939,1.511447370222674e-06,-0.028339661251727488
18,0.01659449853577954,0.0003420685972684571,119859,-0.0006438713826831359,1.2907927086838332e-06,-0.03735105962620833
19,0.01677068062827225,0.000368586387434555,119375,0.00017618209249270836,2.6517790166097907e-05,0.01061689764911189
20,0.01590298086080046,0.0003623890710198303,118657,-0.0008676997674717905,-6.197316414724712e-06,-0.05173909078019234
21,0.014585987828674787,0.0003385873778189627,112231,-0.0013169930321256726,-2.3801693200867582e-05,-0.08281422480812717
22,0.01430844028170021,0.000375361956172023,111892,-0.00027754754697457626,3.677457835306032e-05,-0.019028368200674217
23,0.014196092489693493,0.0002509410288582183,111580,-0.00011234779200671764,-0.00012442092731380471,-0.007851854555412596
24,0.014264514098124747,0.0002338444934118811,111185,6.84216084312541e-05,-1.70965354463372e-05,0.00481974941209562
25,0.013807720057720057,0.00020743145743145743,110880,-0.00045679404040468996,-2.641303598042367e-05,-0.0320231055374498
26,0.013119441202283687,0.00033477194792034236,110523,-0.0006882788554363698,0.00012734049048888492,-0.04984739352761902
27,0.012978055288330641,0.00023596464160601167,110186,-0.000141385913953046,-9.880730631433069e-05,-0.010776824391608653
28,0.012646472371691569,0.0003368750739759453,109833,-0.00033158291663907234,0.00010091043236993365,-0.025549507169785213
29,0.012710779472548374,0.00028347781557481983,109356,6.43071008568051e-05,-5.339725840112548e-05,0.005084983303387691
30,0.011931202848804126,0.00022944620863084858,108958,-0.0007795766237442478,-5.403160694397125e-05,-0.06133192896847195
